Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
MRG1-IT-MF_S6_L001_R2_001 - polyg	(1.0, 0.4557805241476028)	(2.0, 0.48207555438688754)	(3.0, 0.48499722441347476)	(4.0, 0.4879188944400619)	(5.0, 0.4879188944400619)	(6.0, 0.4879188944400619)	(7.0, 0.4879188944400619)	(8.0, 0.4879188944400619)	(9.0, 0.4879188944400619)	(12.0, 0.48908756245069684)	(17.0, 0.4908405644666491)	(22.0, 0.4908405644666491)	(27.0, 0.4908405644666491)	(32.0, 0.4908405644666491)	(37.0, 0.492009232477284)	(42.0, 0.4937622344932363)	(47.0, 0.49668390451982347)	(52.0, 1.2387880912729716)	(57.0, 1.2387880912729716)	(62.0, 1.2387880912729716)	(67.0, 1.2387880912729716)	(72.0, 1.2387880912729716)	(77.0, 1.2387880912729716)	(82.0, 1.2387880912729716)	(87.0, 1.2387880912729716)	(92.0, 1.2387880912729716)	(97.0, 1.2387880912729716)	(102.0, 1.2387880912729716)	(107.0, 1.2387880912729716)	(112.0, 1.2387880912729716)	(117.0, 1.2387880912729716)	(122.0, 1.2481374353580506)	(127.0, 1.3200105180120958)	(132.0, 1.3252695240599526)	(137.0, 1.3293598620971747)	(142.0, 1.3293598620971747)	(147.0, 1.3316971981184444)	(152.0, 1.335203202150349)	(157.0, 1.335203202150349)	(162.0, 1.335203202150349)	(167.0, 1.335203202150349)	(172.0, 1.3410465422035238)	(177.0, 1.345721214246063)	(182.0, 1.346889882256698)	(187.0, 1.346889882256698)	(192.0, 1.346889882256698)	(197.0, 1.346889882256698)	(202.0, 1.346889882256698)	(207.0, 1.346889882256698)	(212.0, 1.3498115522832852)	(217.0, 1.3498115522832852)	(222.0, 1.3498115522832852)	(227.0, 1.3498115522832852)	(232.0, 1.3498115522832852)	(237.0, 1.3498115522832852)	(240.0, 1.3498115522832852)
MRG2-IT-MF_S7_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.00017543128685427583)	(32.0, 0.00043857821713568954)	(37.0, 0.00043857821713568954)	(42.0, 0.0005701516822763964)	(47.0, 0.0994695396463744)	(52.0, 0.26814672195676065)	(57.0, 0.2730587979886803)	(62.0, 0.3493275499485767)	(67.0, 0.349502981235431)	(72.0, 0.3748528021858738)	(77.0, 0.47046285352145417)	(82.0, 0.4708137160951627)	(87.0, 0.4708137160951627)	(92.0, 0.4708137160951627)	(97.0, 0.47107686302544416)	(102.0, 0.47212945074656976)	(107.0, 0.47212945074656976)	(112.0, 0.47212945074656976)	(117.0, 0.4722171663899969)	(122.0, 0.4725680289637054)	(127.0, 0.4725680289637054)	(132.0, 0.4745416309408161)	(137.0, 0.4745416309408161)	(142.0, 0.47756782063905234)	(147.0, 0.4789712709338865)	(152.0, 0.47914670222074085)	(157.0, 0.4816904558801278)	(162.0, 0.6322105000010965)	(167.0, 0.6324297891096643)	(172.0, 0.6328683673268)	(177.0, 0.6328683673268)	(182.0, 0.6331315142570814)	(187.0, 0.6335262346525035)	(192.0, 0.6370787182113026)	(197.0, 0.6505430694773684)	(202.0, 0.6569901692692629)	(207.0, 0.6578234678818207)	(212.0, 0.6590076290680871)	(217.0, 0.6627355439137405)	(222.0, 0.8684725855720924)	(227.0, 0.8689550216109415)	(232.0, 0.8692620263629365)	(237.0, 0.8695690311149316)	(240.0, 0.8699198936886402)
MRG2-IT-MF_S7_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.00021928910856784477)	(72.0, 0.00021928910856784477)	(77.0, 0.00021928910856784477)	(82.0, 0.00021928910856784477)	(87.0, 0.00021928910856784477)	(92.0, 0.00021928910856784477)	(97.0, 0.00026314693028141377)	(102.0, 0.0019736019771106027)	(107.0, 0.007061109295884602)	(112.0, 0.00785055008672884)	(117.0, 0.019034294623688924)	(122.0, 0.21714007530387985)	(127.0, 0.27069047561614756)	(132.0, 0.314197434756008)	(137.0, 0.3547659198410592)	(142.0, 0.3573973891438734)	(147.0, 0.4278769086375787)	(152.0, 0.474848635692811)	(157.0, 0.47980456954644435)	(162.0, 0.4818220293452685)	(167.0, 0.4823044653841177)	(172.0, 0.48309390617496195)	(177.0, 0.4846727877566505)	(182.0, 0.4862516693383389)	(187.0, 0.4867779631989018)	(192.0, 0.4875674039897461)	(197.0, 0.48840070260230384)	(202.0, 0.4901988732925601)	(207.0, 0.4914268923005401)	(212.0, 0.4930496317039422)	(217.0, 0.499979167534686)	(222.0, 0.5017773382249424)	(227.0, 0.5024790633723595)	(232.0, 0.5473017571636271)	(237.0, 0.6698405110313386)	(240.0, 0.6925150048572537)
MRG2-IT-MF_S7_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.00017543128685427583)	(32.0, 0.00043857821713568954)	(37.0, 0.00043857821713568954)	(42.0, 0.0005701516822763964)	(47.0, 0.09951339746808796)	(52.0, 0.2684975845304691)	(57.0, 0.27371666531438377)	(62.0, 0.3506432845999838)	(67.0, 0.350818715886838)	(72.0, 0.37586153208528594)	(77.0, 0.4702435644128863)	(82.0, 0.47059442698659487)	(87.0, 0.47059442698659487)	(92.0, 0.47059442698659487)	(97.0, 0.4708575739168763)	(102.0, 0.4719101616380019)	(107.0, 0.4719101616380019)	(112.0, 0.4719101616380019)	(117.0, 0.471997877281429)	(122.0, 0.47234873985513753)	(127.0, 0.47234873985513753)	(132.0, 0.4743223418322482)	(137.0, 0.4743223418322482)	(142.0, 0.4773485315304845)	(147.0, 0.47875198182531864)	(152.0, 0.4789274131121729)	(157.0, 0.4819974606321228)	(162.0, 0.683436435762545)	(167.0, 0.68374344051454)	(172.0, 0.6839627296231078)	(177.0, 0.6839627296231078)	(182.0, 0.6842258765533893)	(187.0, 0.6846205969488114)	(192.0, 0.6878660757556154)	(197.0, 0.7015058583085354)	(202.0, 0.7081283893872842)	(207.0, 0.70856696760442)	(212.0, 0.709487981860405)	(217.0, 0.7137860483883347)	(222.0, 0.9388643894223705)	(227.0, 0.9391713941743655)	(232.0, 0.9396976880349284)	(237.0, 0.9406187022909134)	(240.0, 0.9414081430817576)
MRG2-IT-MF_S7_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.003947203954221205)	(17.0, 0.014078360770055634)	(22.0, 0.01513094849118129)	(27.0, 0.015744957995171255)	(32.0, 0.017323839576859734)	(37.0, 0.019341299375683907)	(42.0, 0.020613176205377406)	(47.0, 0.021665763926503063)	(52.0, 0.023990228477322215)	(57.0, 0.031139053416633956)	(62.0, 0.03640199202226223)	(67.0, 0.0409632054804734)	(72.0, 0.042191224488453326)	(77.0, 0.042454371418734746)	(82.0, 0.04262980270558902)	(87.0, 0.043550816961573965)	(92.0, 0.047892741311217304)	(97.0, 0.06376927277152926)	(102.0, 0.07306713097480588)	(107.0, 0.07771606007644419)	(112.0, 0.08197026878266037)	(117.0, 0.08473331155061523)	(122.0, 0.0875840699619972)	(127.0, 0.09113655352079628)	(132.0, 0.09275929292419834)	(137.0, 0.09376802282361042)	(142.0, 0.0977590845995452)	(147.0, 0.10332902795716845)	(152.0, 0.1059604972599826)	(157.0, 0.10780252577195248)	(162.0, 0.10889897131479172)	(167.0, 0.11008313250105808)	(172.0, 0.11126729368732444)	(177.0, 0.11153044061760584)	(182.0, 0.11161815626103297)	(187.0, 0.11196901883474153)	(192.0, 0.1125830283387315)	(197.0, 0.11381104734671144)	(202.0, 0.11740738872722409)	(207.0, 0.12043357842546035)	(212.0, 0.12657367346536003)	(217.0, 0.1322313324664104)	(222.0, 0.13288919979211392)	(227.0, 0.1330646310789682)	(232.0, 0.13310848890068178)	(237.0, 0.13310848890068178)	(240.0, 0.1333277780092496)
MRG2-IT-MF_S7_L001_R2_001 - polyg	(1.0, 0.4061234290676485)	(2.0, 0.43046452011867925)	(3.0, 0.4311223874443828)	(4.0, 0.43156096566151847)	(5.0, 0.43178025477008636)	(6.0, 0.432218832987222)	(7.0, 0.432218832987222)	(8.0, 0.4326574112043577)	(9.0, 0.4328767003129256)	(12.0, 0.4337099989254834)	(17.0, 0.43458715535975473)	(22.0, 0.4349818757551769)	(27.0, 0.4354204539723126)	(32.0, 0.4356397430808804)	(37.0, 0.4359467478328754)	(42.0, 0.4361660369414432)	(47.0, 0.43620989476315686)	(52.0, 0.4365168995151517)	(57.0, 0.4366046151585789)	(62.0, 0.4368239042671468)	(67.0, 0.4373063403059961)	(72.0, 0.4376572028797046)	(77.0, 0.43792034980998606)	(82.0, 0.43805192327512665)	(87.0, 0.43853435931397594)	(92.0, 0.43857821713568945)	(97.0, 0.43857821713568945)	(102.0, 0.4390606531745388)	(107.0, 0.4398939517870966)	(112.0, 0.4404202456476594)	(117.0, 0.4405518191128001)	(122.0, 0.44936724127722744)	(127.0, 0.6218600540766942)	(132.0, 0.657384889664685)	(137.0, 0.7145316313574653)	(142.0, 0.750582760806019)	(147.0, 0.7660645718709088)	(152.0, 0.8419386034353831)	(157.0, 0.8737355241777207)	(162.0, 0.8850947000015351)	(167.0, 0.8926382453362688)	(172.0, 0.9023308239349677)	(177.0, 0.9081200564011589)	(182.0, 0.914304009262772)	(187.0, 0.9176372037130033)	(192.0, 0.920400246480958)	(197.0, 0.9249176021174556)	(202.0, 0.9272420666682747)	(207.0, 0.928338512211114)	(212.0, 0.9295226733973804)	(217.0, 0.9310138393356417)	(222.0, 0.9344786072510136)	(227.0, 0.9367592139801193)	(232.0, 0.9383380955618076)	(237.0, 1.0139051223742872)	(240.0, 1.1071907091590483)
MRG3-IT-MF_S8_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0007009550512573381)	(47.0, 1.3086830806974503)	(52.0, 3.2699553141154825)	(57.0, 3.3470603697537897)	(62.0, 3.3470603697537897)	(67.0, 3.3470603697537897)	(72.0, 3.37860334706037)	(77.0, 3.424165425392096)	(82.0, 3.424165425392096)	(87.0, 3.424165425392096)	(92.0, 3.424165425392096)	(97.0, 3.424165425392096)	(102.0, 3.424165425392096)	(107.0, 3.424165425392096)	(112.0, 3.577324104091825)	(117.0, 3.615175676859722)	(122.0, 3.615175676859722)	(127.0, 3.615175676859722)	(132.0, 3.615175676859722)	(137.0, 3.615175676859722)	(142.0, 3.615175676859722)	(147.0, 3.615175676859722)	(152.0, 3.615175676859722)	(157.0, 3.615175676859722)	(162.0, 3.615175676859722)	(167.0, 3.615175676859722)	(172.0, 3.615175676859722)	(177.0, 3.615175676859722)	(182.0, 3.615175676859722)	(187.0, 3.615175676859722)	(192.0, 3.62358713747481)	(197.0, 3.6344519407692983)	(202.0, 3.6344519407692983)	(207.0, 3.6351528958205557)	(212.0, 3.6540786822045037)	(217.0, 13.820380268115306)	(222.0, 28.506440024533426)	(227.0, 28.50784193463594)	(232.0, 28.50784193463594)	(237.0, 28.50784193463594)	(240.0, 28.50784193463594)
MRG3-IT-MF_S8_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.00035047752562866903)	(97.0, 0.0017523876281433453)	(102.0, 0.023832471742749495)	(107.0, 0.09708227459914134)	(112.0, 0.10969946552177343)	(117.0, 0.22500657145360553)	(122.0, 2.6913169193025497)	(127.0, 3.288180145448173)	(132.0, 3.3705423639709102)	(137.0, 3.3936738806624023)	(142.0, 3.409445369315693)	(147.0, 3.4805923070183127)	(152.0, 3.496714273197232)	(157.0, 3.4995180934022607)	(162.0, 3.5019714360816616)	(167.0, 3.5030228686585474)	(172.0, 3.5030228686585474)	(177.0, 3.5030228686585474)	(182.0, 3.5541925874003333)	(187.0, 3.6940331201261722)	(192.0, 3.7027950582668887)	(197.0, 3.7048979234206607)	(202.0, 3.7062998335231754)	(207.0, 3.7062998335231754)	(212.0, 3.7066503110488043)	(217.0, 3.7080522211513185)	(222.0, 3.711556996407605)	(227.0, 3.711556996407605)	(232.0, 3.711556996407605)	(237.0, 3.711556996407605)	(240.0, 3.711556996407605)
MRG3-IT-MF_S8_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0007009550512573381)	(47.0, 1.314290721107509)	(52.0, 3.2822220275124856)	(57.0, 3.359327083150793)	(62.0, 3.359327083150793)	(67.0, 3.359327083150793)	(72.0, 3.390870060457373)	(77.0, 3.4364321387891)	(82.0, 3.4364321387891)	(87.0, 3.4364321387891)	(92.0, 3.4364321387891)	(97.0, 3.4364321387891)	(102.0, 3.4364321387891)	(107.0, 3.4364321387891)	(112.0, 3.5951984578988876)	(117.0, 3.6344519407692983)	(122.0, 3.6344519407692983)	(127.0, 3.6344519407692983)	(132.0, 3.6344519407692983)	(137.0, 3.6344519407692983)	(142.0, 3.6344519407692983)	(147.0, 3.6344519407692983)	(152.0, 3.6344519407692983)	(157.0, 3.6344519407692983)	(162.0, 3.6344519407692983)	(167.0, 3.6344519407692983)	(172.0, 3.6344519407692983)	(177.0, 3.6344519407692983)	(182.0, 3.6344519407692983)	(187.0, 3.6344519407692983)	(192.0, 3.644966266538158)	(197.0, 3.658985367563305)	(202.0, 3.658985367563305)	(207.0, 3.6596863226145624)	(212.0, 3.677911153947253)	(217.0, 15.400332953649349)	(222.0, 32.349075615526154)	(227.0, 32.349075615526154)	(232.0, 32.349075615526154)	(237.0, 32.349075615526154)	(240.0, 32.349075615526154)
MRG3-IT-MF_S8_L001_R2_001 - polyg	(1.0, 0.2873915710155086)	(2.0, 0.30316305966879875)	(3.0, 0.30316305966879875)	(4.0, 0.30316305966879875)	(5.0, 0.30316305966879875)	(6.0, 0.30316305966879875)	(7.0, 0.30316305966879875)	(8.0, 0.30316305966879875)	(9.0, 0.30316305966879875)	(12.0, 0.30316305966879875)	(17.0, 0.30316305966879875)	(22.0, 0.30316305966879875)	(27.0, 0.30316305966879875)	(32.0, 0.30316305966879875)	(37.0, 0.30316305966879875)	(42.0, 0.30316305966879875)	(47.0, 0.30316305966879875)	(52.0, 0.30316305966879875)	(57.0, 0.30316305966879875)	(62.0, 0.30316305966879875)	(67.0, 0.30316305966879875)	(72.0, 0.30316305966879875)	(77.0, 0.30316305966879875)	(82.0, 0.30316305966879875)	(87.0, 0.30316305966879875)	(92.0, 0.30316305966879875)	(97.0, 0.30316305966879875)	(102.0, 0.30421449224568475)	(107.0, 0.3049154472969421)	(112.0, 0.3066678349250854)	(117.0, 0.3066678349250854)	(122.0, 0.45737317094541313)	(127.0, 2.7183036887759573)	(132.0, 3.0659773941995967)	(137.0, 3.3456584596512746)	(142.0, 3.4501007622886184)	(147.0, 3.5051257338123194)	(152.0, 3.5724174187330235)	(157.0, 3.5878384298606854)	(162.0, 3.613423289231578)	(167.0, 3.6547796372557606)	(172.0, 3.7045474458950323)	(177.0, 3.7571190747393324)	(182.0, 3.7711381757644786)	(187.0, 3.8387803382108117)	(192.0, 3.93936738806624)	(197.0, 3.951984578988872)	(202.0, 3.968807500219049)	(207.0, 3.9726627530009635)	(212.0, 3.97897134846228)	(217.0, 3.9814246911416804)	(222.0, 3.982476123718567)	(227.0, 3.984578988872338)	(232.0, 3.9905371068080258)	(237.0, 3.995443792166827)	(240.0, 3.995443792166827)
MRG4-IT-MF_S9_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.7288320211783198)	(52.0, 1.7965723110014202)	(57.0, 1.7965723110014202)	(62.0, 1.7965723110014202)	(67.0, 1.7965723110014202)	(72.0, 2.0301404994002232)	(77.0, 2.3687730086726324)	(82.0, 2.3687730086726324)	(87.0, 2.3687730086726324)	(92.0, 2.3687730086726324)	(97.0, 2.3687730086726324)	(102.0, 2.3687730086726324)	(107.0, 2.3712548430239773)	(112.0, 2.3729093992582073)	(117.0, 2.3729093992582073)	(122.0, 2.3729093992582073)	(127.0, 2.3729093992582073)	(132.0, 2.3729093992582073)	(137.0, 2.3745639554924374)	(142.0, 2.4242006425193376)	(147.0, 5.263419140458037)	(152.0, 5.932962896576448)	(157.0, 5.932962896576448)	(162.0, 5.932962896576448)	(167.0, 5.932962896576448)	(172.0, 5.932962896576448)	(177.0, 5.932962896576448)	(182.0, 5.932962896576448)	(187.0, 5.932962896576448)	(192.0, 5.944269030843685)	(197.0, 5.955023646366181)	(202.0, 5.955023646366181)	(207.0, 5.955023646366181)	(212.0, 5.957229721345155)	(217.0, 5.977360155528286)	(222.0, 17.80605843341101)	(227.0, 20.610531250430874)	(232.0, 20.61163428792036)	(237.0, 20.613013084782217)	(240.0, 20.613013084782217)
MRG4-IT-MF_S9_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0013787968618583423)	(107.0, 0.0027575937237166847)	(112.0, 0.005790946819805037)	(117.0, 0.08686420229707557)	(122.0, 1.5726557006356254)	(127.0, 1.7976753484909067)	(132.0, 1.8219421732596135)	(137.0, 1.8360059012505687)	(142.0, 1.8575151322955588)	(147.0, 2.3254787872102805)	(152.0, 2.4015883739848607)	(157.0, 2.4142733051139578)	(162.0, 2.418961214444276)	(167.0, 2.4211672894232494)	(172.0, 2.4219945675403642)	(177.0, 2.423097605029851)	(182.0, 2.428612792477284)	(187.0, 2.4294400705943993)	(192.0, 2.4294400705943993)	(197.0, 2.4294400705943993)	(202.0, 2.4294400705943993)	(207.0, 2.4299915893391426)	(212.0, 2.4407462048616377)	(217.0, 2.9542101562176843)	(222.0, 5.425289892040206)	(227.0, 5.914762777999917)	(232.0, 6.063672839080619)	(237.0, 6.114412563597005)	(240.0, 6.127373254098473)
MRG4-IT-MF_S9_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.7277289836888331)	(52.0, 1.7924359204158449)	(57.0, 1.7924359204158449)	(62.0, 1.7924359204158449)	(67.0, 1.7924359204158449)	(72.0, 2.021591958856702)	(77.0, 2.3536062431921905)	(82.0, 2.3536062431921905)	(87.0, 2.3536062431921905)	(92.0, 2.3536062431921905)	(97.0, 2.3536062431921905)	(102.0, 2.3536062431921905)	(107.0, 2.3544335213093053)	(112.0, 2.3549850400540486)	(117.0, 2.3549850400540486)	(122.0, 2.3549850400540486)	(127.0, 2.3549850400540486)	(132.0, 2.3549850400540486)	(137.0, 2.3566395962882787)	(142.0, 2.406552042687551)	(147.0, 5.2725191997463)	(152.0, 5.949508458918747)	(157.0, 5.949508458918747)	(162.0, 5.949508458918747)	(167.0, 5.949508458918747)	(172.0, 5.949508458918747)	(177.0, 5.949508458918747)	(182.0, 5.949508458918747)	(187.0, 5.949508458918747)	(192.0, 5.959711555696499)	(197.0, 5.968811614984764)	(202.0, 5.968811614984764)	(207.0, 5.968811614984764)	(212.0, 5.970741930591365)	(217.0, 5.992526921008728)	(222.0, 17.351606987742493)	(227.0, 20.020957712300245)	(232.0, 20.02150923104499)	(237.0, 20.02288802790685)	(240.0, 20.02288802790685)
MRG4-IT-MF_S9_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.006066706192176706)	(17.0, 0.016545562342300108)	(22.0, 0.016545562342300108)	(27.0, 0.016545562342300108)	(32.0, 0.01709708108704345)	(37.0, 0.018475877948901785)	(42.0, 0.02150923104499014)	(47.0, 0.02316378727922015)	(52.0, 0.025094102885821833)	(57.0, 0.0358487184083169)	(62.0, 0.04274270271760862)	(67.0, 0.048257890165041985)	(72.0, 0.048257890165041985)	(77.0, 0.048257890165041985)	(82.0, 0.04908516828215699)	(87.0, 0.04963668702690033)	(92.0, 0.05267004012298868)	(97.0, 0.061218580666510404)	(102.0, 0.06976712121003212)	(107.0, 0.07224895556137714)	(112.0, 0.07445503054035049)	(117.0, 0.07776414300881052)	(122.0, 0.08024597736015553)	(127.0, 0.08327933045624389)	(132.0, 0.08493388669047389)	(137.0, 0.08658844292470391)	(142.0, 0.09017331476553558)	(147.0, 0.09403394597873896)	(152.0, 0.09596426158534063)	(157.0, 0.09734305844719897)	(162.0, 0.10037641154328732)	(167.0, 0.10065217091565899)	(172.0, 0.10203096777751734)	(177.0, 0.10203096777751734)	(182.0, 0.10340976463937568)	(187.0, 0.10340976463937568)	(192.0, 0.10451280212886235)	(197.0, 0.10478856150123403)	(202.0, 0.10782191459732238)	(207.0, 0.1127855833000124)	(212.0, 0.1171977332579591)	(217.0, 0.11857653011981743)	(222.0, 0.11857653011981743)	(227.0, 0.11857653011981743)	(232.0, 0.12023108635404745)	(237.0, 0.12133412384353412)	(240.0, 0.12133412384353413)
MRG4-IT-MF_S9_L001_R2_001 - polyg	(1.0, 0.37779034014918583)	(2.0, 0.3943359024914859)	(3.0, 0.39571469935334425)	(4.0, 0.39571469935334425)	(5.0, 0.3970934962152026)	(6.0, 0.3970934962152026)	(7.0, 0.3970934962152026)	(8.0, 0.3970934962152026)	(9.0, 0.3970934962152026)	(12.0, 0.3970934962152026)	(17.0, 0.39792077433231765)	(22.0, 0.3990238118218043)	(27.0, 0.3998510899389193)	(32.0, 0.3998510899389193)	(37.0, 0.3998510899389193)	(42.0, 0.3998510899389193)	(47.0, 0.3998510899389193)	(52.0, 0.3998510899389193)	(57.0, 0.3998510899389193)	(62.0, 0.3998510899389193)	(67.0, 0.4006783680560343)	(72.0, 0.40122988680077765)	(77.0, 0.40122988680077765)	(82.0, 0.40122988680077765)	(87.0, 0.40122988680077765)	(92.0, 0.40122988680077765)	(97.0, 0.4015056461731493)	(102.0, 0.40260868366263597)	(107.0, 0.4031602024073793)	(112.0, 0.4039874805244944)	(117.0, 0.4039874805244944)	(122.0, 0.4591393549988281)	(127.0, 1.6564865498366124)	(132.0, 1.8442786824217188)	(137.0, 1.9871220373102432)	(142.0, 2.0397920774332317)	(147.0, 2.085568133246929)	(152.0, 2.4614281577895127)	(157.0, 2.5607015318433133)	(162.0, 2.628538337446744)	(167.0, 2.6654900933445473)	(172.0, 2.704923683593696)	(177.0, 2.7529058143863665)	(182.0, 2.7642119486536045)	(187.0, 2.7724847298247552)	(192.0, 2.7788271953893036)	(197.0, 2.7928909233802584)	(202.0, 2.81963958250031)	(207.0, 2.8210183793621684)	(212.0, 2.8223971762240265)	(217.0, 2.838942738566327)	(222.0, 3.630923656017759)	(227.0, 5.659685358556124)	(232.0, 6.000523942807506)	(237.0, 6.263046865305335)	(240.0, 6.316268424173066)
MRG5-IT-MF_S10_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.019414905352336406)	(52.0, 0.048537263380841016)	(57.0, 0.048537263380841016)	(62.0, 0.048537263380841016)	(67.0, 0.048537263380841016)	(72.0, 0.048537263380841016)	(77.0, 0.048537263380841016)	(82.0, 0.048537263380841016)	(87.0, 0.048537263380841016)	(92.0, 0.048537263380841016)	(97.0, 0.048537263380841016)	(102.0, 0.048537263380841016)	(107.0, 0.048537263380841016)	(112.0, 0.048537263380841016)	(117.0, 0.048537263380841016)	(122.0, 0.048537263380841016)	(127.0, 0.048537263380841016)	(132.0, 0.048537263380841016)	(137.0, 0.048537263380841016)	(142.0, 0.048537263380841016)	(147.0, 0.048537263380841016)	(152.0, 0.048537263380841016)	(157.0, 0.048537263380841016)	(162.0, 0.048537263380841016)	(167.0, 0.048537263380841016)	(172.0, 0.048537263380841016)	(177.0, 0.048537263380841016)	(182.0, 0.048537263380841016)	(187.0, 0.048537263380841016)	(192.0, 0.05030225477650796)	(197.0, 0.05294974187000838)	(202.0, 0.05294974187000838)	(207.0, 0.05294974187000838)	(212.0, 0.05294974187000838)	(217.0, 4.88108370471694)	(222.0, 10.929709217667565)	(227.0, 10.929709217667565)	(232.0, 10.929709217667565)	(237.0, 10.929709217667565)	(240.0, 10.929709217667565)
