Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
WML1-IT-MF_S11_L001_R2_001	(1.0, 3.1682695586931313)	(2.0, 1.3164177068412795)	(3.0, 0.9003478616738286)	(4.0, 0.7912147875315462)	(5.0, 0.6138735420503376)	(6.0, 0.5934110906486597)	(7.0, 0.42971147943523635)	(8.0, 0.3001159538912762)	(9.0, 0.3069367710251688)	('>10', 2.905668099038265)	('>50', 0.798035604665439)	('>100', 4.5460746197394455)	('>500', 13.406316076665984)	('>1k', 47.11820476093036)	('>5k', 22.805402087170044)	('>10k+', 0.0)
WML2-IT-MF_S12_L001_R1_001	(1.0, 2.414391131363281)	(2.0, 1.3126126432482061)	(3.0, 1.009963614105485)	(4.0, 0.8977454347604312)	(5.0, 0.59509640561771)	(6.0, 0.4896793280511443)	(7.0, 0.4522732682694597)	(8.0, 0.27204407113952456)	(9.0, 0.24483966402557214)	('>10', 3.006086986091747)	('>50', 0.948753698099092)	('>100', 4.716564083381508)	('>500', 13.007107151358522)	('>1k', 70.63284252048831)	('>5k', 0.0)	('>10k+', 0.0)
WML2-IT-MF_S12_L001_R2_001	(1.0, 3.424354745468766)	(2.0, 1.2718060325772775)	(3.0, 1.0201652667732173)	(4.0, 0.7753256027476451)	(5.0, 0.6291019145101506)	(6.0, 0.4488727173802156)	(7.0, 0.21423470602237563)	(8.0, 0.35365729248138195)	(9.0, 0.39786445404155474)	('>10', 3.363144829462373)	('>50', 0.5134831842758526)	('>100', 5.600707314584962)	('>500', 7.406399836773557)	('>1k', 74.58088210290067)	('>5k', 0.0)	('>10k+', 0.0)
WML3-IT-MF_S13_L001_R1_001	(1.0, 2.824290114984598)	(2.0, 0.9515966694116571)	(3.0, 0.6953975661085186)	(4.0, 0.544931426073342)	(5.0, 0.5032482386311649)	(6.0, 0.4025985909049319)	(7.0, 0.4127652219883897)	(8.0, 0.325332194670652)	(9.0, 0.2744990392533626)	('>10', 4.919632781285266)	('>50', 2.7907402324091866)	('>100', 4.0625857809497665)	('>500', 0.5916979290572483)	('>1k', 23.008102804973515)	('>5k', 12.03830786592247)	('>10k+', 45.654273543375936)
WML3-IT-MF_S13_L001_R2_001	(1.0, 1.5941277538861949)	(2.0, 0.7157308282754343)	(3.0, 0.6008478970323604)	(4.0, 0.487998292005978)	(5.0, 0.3558320879210256)	(6.0, 0.34159880440418455)	(7.0, 0.25619910330313844)	(8.0, 0.21959923140269008)	(9.0, 0.15554945557690547)	('>10', 3.835869907788656)	('>50', 1.4528115818261302)	('>100', 3.5857707831355925)	('>500', 0.5855979504071736)	('>1k', 32.34513679202123)	('>5k', 12.657455698905054)	('>10k+', 40.80987383210826)
WML4-IT-MF_S14_L001_R1_001	(1.0, 6.897430472746856)	(2.0, 1.7377005039042968)	(3.0, 1.0645459091433627)	(4.0, 0.7366234565526791)	(5.0, 0.6707504712082164)	(6.0, 0.5077508943339616)	(7.0, 0.47120821633265375)	(8.0, 0.476978112859176)	(9.0, 0.3808131707504712)	('>10', 7.661941762511058)	('>50', 3.5427164672846865)	('>100', 10.0905873754664)	('>500', 3.1181482478747546)	('>1k', 17.07168134784783)	('>5k', 6.445936069546486)	('>10k+', 39.12518752163711)
WML4-IT-MF_S14_L001_R2_001	(1.0, 1.6732699926914643)	(2.0, 0.5846828480209255)	(3.0, 0.43274223948917184)	(4.0, 0.34619379159133745)	(5.0, 0.3149401854060084)	(6.0, 0.2711851367465477)	(7.0, 0.20867792437588956)	(8.0, 0.1884832865330615)	(9.0, 0.22069854213947762)	('>10', 3.537908220179251)	('>50', 1.4410316574989421)	('>100', 2.9085086740777784)	('>500', 1.2131207447013117)	('>1k', 15.592183713505403)	('>5k', 26.231392083701966)	('>10k+', 44.834980959341465)
WML5-IT-MF_S15_L001_R1_001	(1.0, 4.453588285126467)	(2.0, 1.6579934648432775)	(3.0, 1.179958852716931)	(4.0, 0.9439670821735447)	(5.0, 0.9379160111339707)	(6.0, 0.7261285247488806)	(7.0, 0.4235749727701803)	(8.0, 0.43567711484932836)	(9.0, 0.3267578361369962)	('>10', 6.111581749969744)	('>50', 2.589858404937674)	('>100', 14.123199806365728)	('>500', 4.308362580176691)	('>1k', 25.86832869417887)	('>5k', 35.91310661987171)	('>10k+', 0.0)
WML5-IT-MF_S15_L001_R2_001	(1.0, 2.3478155633547138)	(2.0, 1.1376013554399127)	(3.0, 0.7261285247488806)	(4.0, 0.43567711484932836)	(5.0, 0.6656178143531405)	(6.0, 0.2904514098995522)	(7.0, 0.2541449836621082)	(8.0, 0.2904514098995522)	(9.0, 0.054459639356166045)	('>10', 3.146556940578482)	('>50', 2.55355197870023)	('>100', 6.704586711847997)	('>500', 11.12186857073702)	('>1k', 70.27108798257291)	('>5k', 0.0)	('>10k+', 0.0)
XB-IT-MF_S16_L001_R1_001	(1.0, 1.783016428250602)	(2.0, 0.7594833335601802)	(3.0, 0.6696519715261804)	(4.0, 0.636986021695635)	(5.0, 0.4763784350287869)	(6.0, 0.3266594983054539)	(7.0, 0.362047610621878)	(8.0, 0.27221624858787824)	(9.0, 0.2572443549155449)	('>10', 4.257462127914415)	('>50', 0.9609233575152101)	('>100', 3.674919355936356)	('>500', 9.316601107920132)	('>1k', 5.226551972887262)	('>5k', 44.297750132705424)	('>10k+', 26.722108042629067)
XB-IT-MF_S16_L001_R2_001	(1.0, 3.3727593200038113)	(2.0, 0.9445903825999373)	(3.0, 0.7023179213567258)	(4.0, 0.549876822147514)	(5.0, 0.5444324971757565)	(6.0, 0.5308216847463626)	(7.0, 0.32393733581957507)	(8.0, 0.17421839909624207)	(9.0, 0.39199139796654464)	('>10', 4.254739965428536)	('>50', 1.312082318193573)	('>100', 3.876359379891386)	('>500', 5.960174762831594)	('>1k', 21.887547467708348)	('>5k', 14.956921778660966)	('>10k+', 40.21722856637312)
