ASV_ID	HM1_IT_MF	HM2_IT_MF	HM3_IT_MF	HM4_IT_MF	HM5_IT_MF	MRG1_IT_MF	MRG2_IT_MF	MRG3_IT_MF	MRG4_IT_MF	MRG5_IT_MF	WML1_IT_MF	WML2_IT_MF	WML3_IT_MF	WML4_IT_MF	WML5_IT_MF	XB_IT_MF
81bf5a8a4ec4a1ec6e805dfab980c76b	0	0	0	9441	0	0	0	0	0	0	0	0	0	0	0	0
b5df7552df5a218bf4d98dbc6434c131	0	0	0	0	0	0	0	0	0	0	0	0	1746	4845	1672	971
0330359827481174c289b4deb31778d3	1561	3441	1252	100	59	0	2126	13	110	445	37	0	0	0	0	0
5c5a59229c40e2a05e1534b7770d9b09	7490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8ee62601489403187465b1da7741d62f	571	2790	706	0	216	0	2760	6	0	0	152	109	76	56	0	13
021894b0fb53efba858572f4880d1e0b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6821
4fec8dfe29719f649e7b6611a98f7848	0	6798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53da414e783253c265815eed83c9f8f1	0	0	0	0	0	0	0	0	0	0	0	0	6753	0	0	0
634620191e08a119977f3e48dcf6abf4	0	6616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bff56af3da67ff559e50940ae4d87ef6	4578	0	0	0	1511	110	0	0	0	0	0	0	0	0	0	0
4001df5c86ab209b37ab690d1f328db5	119	15	0	149	125	0	11	3	33	0	237	209	1705	1894	1040	488
af92147938574d60e49486e9abc86b43	1	14	618	749	0	17	4348	0	162	0	10	0	0	0	0	0
2cc040b0ffcbe426436a68fa2b3279c3	2020	0	0	0	0	0	0	0	0	0	0	0	0	3658	0	0
2dab3068cb6092ddac37141ccf003888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5501
6dd83acbe9f104a069fbcc280f249d0f	9	0	396	203	8	70	4686	0	13	0	0	0	0	0	0	0
1d2a88d63970d502a222c61cf8e828f9	0	0	5262	0	0	0	0	0	0	0	0	0	0	0	0	0
ba2e8ff38d6c174e1098b80a270a240f	0	0	0	0	0	0	0	0	0	0	0	0	0	5259	0	0
1d036c0a3226f4ffcc5dae49513933da	5	119	192	1163	0	15	3560	0	31	0	0	0	0	0	0	0
3474a5520d16cb535276bc8e28a40d0e	4871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fa44b88efee61880209ac1dbad7608d4	0	0	0	0	0	0	0	0	0	0	0	0	3031	1839	0	0
2d223f6a58614adbcc18c17b701079c4	179	165	321	2236	0	0	162	0	30	57	155	463	92	15	0	888
395d4812683ec13c86d19dfee060baaa	0	0	0	0	0	0	0	0	0	0	0	0	0	2087	0	2517
9ff0cc5088aa38c49987028b3d009b5b	5	14	0	3905	0	0	6	0	0	0	0	0	187	24	20	363
2d0fd3a5f535c04dd7ae64892e205b17	32	161	543	25	0	18	3598	34	93	0	0	0	0	0	0	0
e2c99b65c77f54d1e9cac5f93cd5e499	0	0	0	134	0	0	3008	0	1201	0	0	0	0	0	0	0
a2f8f87f4b7ab50125a2356ee9401c91	0	1611	120	2	0	0	2130	3	148	0	52	3	0	0	0	0
a5cba573782ac358ad4b00acaa58e91f	87	0	1001	9	0	6	548	0	328	0	0	0	1293	553	0	124
fa804ba945f94d34436bf0eb7bfbb9bb	0	9	89	0	0	19	3817	0	0	0	0	0	0	0	0	0
9c512723007ac042a4e90f62d94efe08	2143	0	0	0	0	0	0	0	0	0	1739	0	0	0	0	0
f82b28352a5156511e601edc30b0c0d4	0	0	0	0	0	0	3792	0	0	0	0	0	0	0	0	0
0c04f0021c3cb47229141506e0bddddd	0	0	0	0	0	0	0	0	0	0	0	0	1057	2571	36	0
9b632bcbc872b828ddc97504e119cdb9	43	636	588	50	0	5	2273	0	49	0	0	0	0	0	0	0
be99e417b0bc74a87c021da061bcd800	7	0	526	1789	0	0	951	225	58	0	0	0	0	0	0	0
fac2e7950849eb541c52388389c078ac	0	0	0	3553	0	0	0	0	0	0	0	0	0	0	0	0
b9c17d55edeac6a5a201d13c5c871048	0	0	0	0	0	0	3320	0	0	0	25	0	15	0	0	68
6808ecbdfbf40a6781dcffc3c0cf7164	0	0	3413	0	0	0	0	0	0	0	0	0	0	0	0	0
586703deac2b165850aa5664ee0f1538	0	0	0	3390	0	0	0	0	0	0	0	0	0	0	0	0
107782bce69cfd460314010e70e2572e	0	0	0	0	0	0	0	0	0	0	0	3348	0	0	0	0
381e0599096e35435c384184c34c8007	0	0	0	0	0	0	3307	0	0	0	0	0	0	0	0	0
e75110e493a85f1f5bc70a4f083f7cf3	0	0	0	0	0	0	0	0	0	3144	0	0	0	0	0	0
6ebe9a33ab2e2ebd1b89fc2c34702f43	157	0	0	0	0	0	2923	0	0	0	0	45	0	0	0	0
30dbc19aebe8cfde3574cd7b9bb00a5c	0	0	0	3093	0	0	0	0	0	0	0	0	0	0	0	0
e540983469403e962f31c49f06b44284	14	0	0	0	0	0	0	0	0	0	11	3	222	1445	813	557
7b1a63f2f56dbfe9d6ce4646c0d85d77	0	0	0	0	0	0	0	0	0	0	0	0	0	3061	0	0
246880cd9cd3d6651c432318b2678bcb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3018
a1c073a7294f7bb81b5add31cc6f0cc8	0	1575	59	0	0	0	1382	0	0	0	0	0	0	0	0	0
4108a1618909a4ed26c974c372125845	0	0	0	0	0	0	0	0	0	0	0	0	0	2980	0	0
fbf040d40cc79bed78f5ad0a3debc9f8	2	4	24	0	9	0	507	0	189	0	1	2	623	1478	18	106
ff9a33ad38ed9c66758cc50ef0fbb1ae	0	0	0	0	0	0	0	2834	0	0	0	0	0	0	0	0
225a3a5dac8435893dec9ea7dd4d0054	0	0	0	0	0	0	0	0	0	0	13	0	2238	431	0	0
71fbf073204141e59d30dfbedbce94f5	0	0	0	0	0	0	0	0	0	0	0	0	830	1825	0	15
214dc7a80627b86fb616ff1ef1c981a7	0	0	0	0	0	0	0	0	0	0	0	0	253	1608	0	800
9bcce9a25a72073b94abe1f73562bfa1	0	0	0	0	0	0	0	0	0	0	0	0	14	865	0	1704
ab45842c7a9e0f4ee377686285bcd01e	0	0	0	0	0	0	0	0	0	0	0	0	1638	355	509	61
c5d284a441d2857e67f937c7e5a407ab	0	0	0	0	0	0	0	0	2538	0	0	0	0	0	0	0
cf33739fe7d287f698ec40002c083cba	512	0	0	0	0	0	1978	0	17	0	0	0	0	0	0	0
b295ebed009543b74b59d6f3b5484e61	0	0	0	0	0	0	55	0	0	0	0	0	132	1356	0	865
df2bf55aacf71a3d4fbcb7ccb59bc3e8	0	0	0	0	0	0	0	0	0	0	0	0	2395	0	0	0
f914371f8d6d0b5efb1e0bf46a7edd27	0	2327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e17de3fdde867bb3919ff41e22afded0	0	0	0	0	0	0	1939	0	5	0	10	0	11	299	0	7
cbb1bf3033a8a0650dbc5568046200dd	7	0	23	390	0	0	147	27	212	0	32	19	923	313	51	111
9523e5e19fa2eb77562a7d6b7a9540af	0	0	0	0	0	0	0	0	0	0	0	0	252	210	140	1601
6ec42da05f437eed02acfad1fec8501e	0	0	0	0	0	0	0	0	0	0	0	0	2199	0	0	0
4c94aef08fdf872e1650c8024f545ef1	0	0	0	0	0	0	0	0	0	0	0	0	166	707	6	1278
2545a118c337932312380f208b074339	33	0	0	0	0	0	2000	0	0	0	5	4	68	11	0	0
5f80d0b0370538e8ab5eff8d97192682	0	0	0	1684	0	0	431	0	0	0	0	0	0	0	0	0
