ASV_ID	NTC	PAC	Site1_1	Site1_2	Site1_3	Site2_1	Site2_2	Site2_3	Site3_1	Site3_2	Site3_3	Site4_1	Site4_2	Site4_3	XB
d067946fe294f7c5f3a22e0e22f1b826	0	0	5913	0	0	0	0	0	0	0	0	0	0	0	0
7825f3913e51f4a46ee0f6ae79d64598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5906
94a9f3ce5f4bb7f7d60ce7db2a18d0cc	0	0	0	0	5745	0	0	0	0	0	0	0	0	0	0
9d947a3ee6e41afd841d01ae83b40c3c	0	0	0	0	0	0	0	0	0	0	0	0	5151	0	0
22afe2eecf744d16f4a2eecf8ee64d9b	0	0	0	0	0	0	664	0	0	0	0	0	0	4439	0
66f20559795f47406c0ad1563e3ac5a9	0	0	309	1390	1015	181	197	676	0	477	250	106	8	257	0
1eb71e27c9c3481afd89b0143300b5f0	0	0	193	815	504	237	228	836	0	455	163	338	22	802	0
c7d22de2a7000a39e5e034ecf7504412	0	0	0	0	0	0	0	0	0	4222	0	0	0	0	0
228b0abc065a117683e76d7571c79218	0	0	0	0	0	0	556	0	0	0	0	0	0	3410	0
070061e526455a1684a252a22bd43afa	0	0	0	0	0	0	0	0	0	0	0	0	0	3875	0
67f895192ebfbd39abeace1e6412fad0	0	0	345	589	499	410	204	452	0	448	230	159	14	299	0
cfd87ee10d249fa258fb1925700f8a2d	0	0	0	0	0	0	0	0	0	0	0	0	0	3641	0
f8d8a6706f6f08921b14df6f6e8ea00c	0	0	0	0	0	0	0	0	0	0	0	0	0	3492	0
1d26dddeefd1ab396c6c15453cc8d26a	0	0	161	786	474	111	145	424	0	309	119	327	19	453	0
b95ab15f2557e3e78bd2bff6adaa8b92	0	0	0	0	0	0	0	2521	0	0	0	697	0	0	0
a27a28aa163cf3a7c4b35edde5953271	0	0	0	0	0	0	0	0	0	2314	874	0	0	0	0
bb9fbd5b0c47f4d3a656503803b75612	0	0	0	0	3073	0	0	0	0	0	0	0	0	0	0
6431fc31dafaf2ed116e0ef1f5048191	0	0	0	0	2925	0	0	0	0	0	0	0	0	0	0
95ad0478b3ddae726586a60a0eafe65a	0	0	0	2907	0	0	0	0	0	0	0	0	0	0	0
558c76f53876f28a2e643ea68d20caaa	0	0	675	0	0	0	0	560	0	0	0	1596	0	0	0
f3d8d7b42e6dae14f4de0e06bd1816d1	0	0	0	0	0	0	0	0	0	2501	0	0	194	0	0
0a7e747db958982e0b742f54b9f5b6ed	0	0	187	800	276	181	132	334	0	240	152	88	3	192	0
2978846c579d63af28bb08d62356059a	0	0	148	612	127	80	82	261	0	189	81	335	25	543	0
bfdcee1f03191634d686d01fc84ae660	0	0	0	0	2438	0	0	0	0	0	0	0	0	0	0
8e8326e0f090864587513527abadd305	0	0	0	0	0	0	0	0	0	2396	0	0	0	0	0
31157a29ff425d6cd20490def9b35000	0	0	351	522	238	127	83	298	0	314	126	75	2	175	0
420c3cc2f252bb3000472162b962d58b	0	0	229	163	174	154	73	193	0	201	123	209	17	606	0
9b4efb9b5120442ad5f8fa9df6c0b6b4	0	0	136	712	144	158	101	165	0	269	231	55	6	137	0
5e2522b1f492ce90f9f78e1e2f33a60c	0	0	212	440	343	158	105	359	0	138	87	74	4	151	0
318f80f81d2e8443c27bc15427767044	0	0	0	0	0	0	0	0	0	0	0	470	69	1475	0
cbe47ee0190ebfbd9b80c6a4656d85fc	0	0	98	338	205	104	82	217	0	137	71	328	16	304	0
6ffafab4e15a3f16468da23e86249625	0	0	224	191	364	148	56	308	0	222	116	58	0	200	0
1e990f3fe930ab79df75c54241b6c0e9	0	0	46	530	125	28	39	54	0	80	115	170	18	676	0
30bf6d8cbd0eb31d07c0b9d8e119d74f	0	0	95	0	209	0	61	282	0	30	37	0	2	1133	0
1e09394cd11f63605afc6ba631fd9112	0	0	0	0	1791	0	0	0	0	0	0	0	0	0	0
