Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Site3_2_1	1.4293512065704457	0.4747578607969331	0.3135432930931617	0.2369557950501627	0.17560116954610272	0.12694060449115857	0.1688310039732409	0.09816740080649598	0.11424654404204272	3.3359990860276474	1.5753329017352782	6.113459512294198	4.116683803648273	9.826049058312282	4.192425030994664	67.70165572861792
Site3_2_2	1.912571774333456	0.49252954542569527	0.3440090381710398	0.25557375037553265	0.2242617346010468	0.17771684628762202	0.1954885309163842	0.13540331145723583	0.14852050725465554	3.6266930703124007	2.1389491856760223	5.654357659384508	4.068023238593329	8.916731194807284	7.6257452471322	64.08342536527158
Site3_3_1	3.8931646727120324	1.069877314638421	0.5989484111864665	0.43892402651832657	0.36195991770174507	0.34290939571744267	0.3093804770250705	0.23165434732911683	0.233178389087861	5.162691457745942	3.5799740912901017	8.699992379791206	7.006781985826412	12.165663339175493	0.0	55.90489979425436
Site3_3_2	1.7427417511239809	0.6309532881200945	0.3840585232035358	0.27127943305646574	0.2628972033833727	0.26061114074525643	0.24003657700220984	0.2926160176788844	0.1783128857730702	4.220071629962661	2.7196525184790064	9.616703497675836	5.1870761258858495	17.539434580507507	0.0	56.45355482740227
Site4_1_1	2.2940599607733256	0.788736340711684	0.586298683104511	0.4174838890445503	0.35724292518912865	0.2857943401513029	0.27458671896889886	0.21854861305687867	0.15760717287755674	4.2329784253292235	2.2597366209022134	8.398010647240122	7.586158587839731	23.137433454749228	11.452087419445222	37.55323620061642
Site4_1_2	2.689128607453068	0.8868030260577192	0.5400672457270944	0.37545530961053514	0.3677500700476324	0.33202577752871953	0.25987671616699354	0.23536004483048473	0.2080414681983749	4.932053796581676	2.3711123564023535	11.618100308209582	4.358363687307369	25.182824320537968	17.014569907537126	28.628467357803306
Site4_2_1	3.3241976836707634	1.3173017416674033	0.8619927504199453	0.6542303951905225	0.839890372204049	0.5304570771815047	0.27848996552029	0.31827424630890283	0.1989214039430643	5.180797453806029	5.198479356378746	8.142516134736097	7.302625762532049	39.050481831845104	26.801343824595524	0.0
Site4_2_2	3.355141013173017	1.4587569622491379	0.9946070197153214	0.6719122977632394	0.5967642118291928	0.34479710016797804	0.34037662452479883	0.31827424630890283	0.27848996552029	6.091415436300946	4.6768632304836	10.282026346034833	7.4617628856865	37.905578640261695	25.223234019980552	0.0
Site4_3_1	1.8540411620782533	0.6497111252749964	0.40941053107716346	0.34130394555585253	0.26857125233875445	0.22667927709357072	0.19969364886814564	0.19738059502025207	0.15960071550465696	3.1871311964142524	1.724767152579312	6.415126344141292	2.829378867940046	16.505695252585483	9.550342331969489	55.481166601558485
Site4_3_2	1.583670867857804	0.4991056191788145	0.3438740053868454	0.2868186771388038	0.24544071385981867	0.19429652322306062	0.1853013138145856	0.13981125480601186	0.1734790385920184	3.102319221991488	1.8524991261796575	5.538992947755824	5.213623373152127	17.844696424532764	13.102679030367828	49.69339186216255
XB_1	2.6278984173721014	1.0158262789841737	0.7949944792050054	0.8244387191755612	0.5152741994847259	0.3974972396025027	0.2061096797938903	0.2355539197644461	0.13249907986750092	2.5616488774383512	1.80345969819654	8.33271991166728	0.0	33.882959146117045	46.669120353330875	0.0
XB_2	2.554287817445712	0.9274935590725064	0.8391608391608392	0.44166359955833645	0.5520794994479205	0.30916451969083547	0.30916451969083547	0.2355539197644461	0.0	2.0169304379830697	1.1998527788001472	8.575634891424365	0.0	34.03018034596982	48.00883327199117	0.0
